rel_id;change_type;category;restriction_old;restriction_new;except_old;except_new;from_ways;via;to_ways
21006713;restriction_added;turn_restriction;;restriction=no_u_turn;;;252889008;149776380;283659284
21006714;restriction_added;turn_restriction;;restriction=no_u_turn;;;149776380;65642916;149776380
21006715;restriction_added;turn_restriction;;restriction=no_u_turn;;;149776380;49345429;149776380
21006716;restriction_added;turn_restriction;;restriction=no_u_turn;;;252889009;149776380;252889007
21006717;restriction_added;turn_restriction;;restriction=no_u_turn;;;252889015;65642916;252889015
21006718;restriction_added;turn_restriction;;restriction=no_u_turn;;;252889015;2589063463;252889015
21006719;restriction_added;turn_restriction;;restriction=only_straight_on;;;1024635667;2589063463;252889015
21006720;restriction_added;turn_restriction;;restriction=only_straight_on;;;1024635665;2589063463;252889015
21006721;restriction_added;turn_restriction;;restriction=no_u_turn;;;135706519;1530947437;1530947436
21006722;restriction_added;turn_restriction;;restriction=no_u_turn;;;135706524;1530947437;1530947438
21006723;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947437;25917671;1530947437
21006724;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947437;25917672;1530947437
21006725;restriction_added;turn_restriction;;restriction=no_u_turn;;;4709048;25917671;4709048
21006726;restriction_added;turn_restriction;;restriction=only_left_turn;;;7614887;142147148;145258230
21006727;restriction_added;turn_restriction;;restriction=no_u_turn;;;142147148;25917615;142147148
21006728;restriction_added;turn_restriction;;restriction=no_u_turn;;;142147148;25917616;142147148
21006729;restriction_added;turn_restriction;;restriction=no_u_turn;;;1180918866;8095453;129100170
21006730;restriction_added;turn_restriction;;restriction=only_left_turn;;;8095453;65626587;1367998203
21006731;restriction_added;turn_restriction;;restriction=only_right_turn;;;129100146;178304544;129100170
21006732;restriction_added;turn_restriction;;restriction=no_left_turn;;;1367998204;178304544;8095453
21006733;restriction_added;turn_restriction;;restriction=no_u_turn;;;652073622;920238520;920238521
21006734;restriction_added;turn_restriction;;restriction=no_u_turn;;;1094576467;501228496;1094576469
21006735;restriction_added;turn_restriction;;restriction=no_u_turn;;;501228496;178304520;501228496
21006736;restriction_added;turn_restriction;;restriction=no_left_turn;;;22823101;178304520;501228496
21006737;restriction_added;turn_restriction;;restriction=no_u_turn;;;1308678203;178304520;1308678203
21006738;restriction_added;turn_restriction;;restriction=only_straight_on;;;1308678204;1425424215;1308678203
21006739;restriction_added;turn_restriction;;restriction=only_straight_on;;;1308678203;1425424215;1308678204
21006740;restriction_added;turn_restriction;;restriction=only_left_turn;;;501228496;30680612;1094576468
21006741;restriction_added;turn_restriction;;restriction=only_right_turn;;;940968331;245573152;940968330
21006742;restriction_added;turn_restriction;;restriction=only_straight_on;;;940968330;3406725838;940962633
21006743;restriction_added;turn_restriction;;restriction=only_straight_on;;;940968330;245573152;93712187
21006744;restriction_added;turn_restriction;;restriction=only_straight_on;;;940962633;3406725838;940968330
21006745;restriction_added;turn_restriction;;restriction=no_u_turn;;;360156805;1333169460,1333169463;1333169462
21006746;restriction_added;turn_restriction;;restriction=no_u_turn;;;219625343;1333169461,1333169462;1333169463
21006747;restriction_added;turn_restriction;;restriction=no_u_turn;;;1024991959;1333169460,1333169462;1333169461
21006748;restriction_added;turn_restriction;;restriction=only_straight_on;;;110546735;1262223904;360156800
21006749;restriction_added;turn_restriction;;restriction=only_straight_on;;;360156805;483434;1333169463
21006750;restriction_added;turn_restriction;;restriction=only_straight_on;;;110546758;1262223954;506767208
21006751;restriction_added;turn_restriction;;restriction=only_straight_on;;;110546746;1262223868;485769776
21006752;restriction_added;turn_restriction;;restriction=no_u_turn;;;313479831;1333169461,1333169463;1333169460
21006753;restriction_added;turn_restriction;;restriction=only_straight_on;;;110546755;1262223833;1111613840
21006754;restriction_added;turn_restriction;;restriction=only_straight_on;;;896731169;1262223833;1111613840
21006755;restriction_added;turn_restriction;;restriction=only_straight_on;;;896731147;1262223868;485769776
21006756;restriction_added;turn_restriction;;restriction=only_straight_on;;;896731161;1262223904;360156800
21006757;restriction_added;turn_restriction;;restriction=only_straight_on;;;896731153;1262223954;506767208
21006758;restriction_added;turn_restriction;;restriction=only_left_turn;;;480960535;141438357;1367998199
21006759;restriction_added;turn_restriction;;restriction=only_straight_on;;;110546767;244010557;485772394
21006760;restriction_added;turn_restriction;;restriction=only_straight_on;;;480960536;244010557;485772394
21006761;restriction_added;turn_restriction;;restriction=no_u_turn;;;1319963669;213887633,1319963662;117273584
21006762;restriction_added;turn_restriction;;restriction=no_u_turn;;;1319963662;117273584;896928989
21006763;restriction_added;turn_restriction;;restriction=only_straight_on;;;110547814;8337222723;896947781
21006764;restriction_added;turn_restriction;;restriction=only_straight_on;;;896947781;8337222621;1367998198
21006765;restriction_added;turn_restriction;;restriction=only_straight_on;;;896928987;8337222621;1367998198
21006766;restriction_added;turn_restriction;;restriction=only_straight_on;;;1319963666;1262229640;1319965388
21006767;restriction_added;turn_restriction;;restriction=only_straight_on;;;896947784;1262229640;1319965388
21006768;restriction_added;turn_restriction;;restriction=no_u_turn;;;1367998193;1259612123;1367998193
21006769;restriction_added;turn_restriction;;restriction=no_u_turn;;;110254934;1259612123;110254934
21006770;restriction_added;turn_restriction;;restriction=no_u_turn;;;1367998194;1259612123;1367998194
21006771;restriction_added;turn_restriction;;restriction=no_u_turn;;;669204269;1259612123;669204269
21028158;restriction_added;turn_restriction;;restriction=no_left_turn;;;1041159330;1288894859;1145075199
21028159;restriction_added;turn_restriction;;restriction=no_right_turn;;;1532194168;1288894859;1145075199
21030650;restriction_added;turn_restriction;;restriction=no_u_turn;;;128553053;10084772101;128553053
21030651;restriction_added;turn_restriction;;restriction=no_u_turn;;;1532318508;10084772101;1532318508
21030652;restriction_added;turn_restriction;;restriction=no_u_turn;;;1532318509;10084772102;1532318509
21030653;restriction_added;turn_restriction;;restriction=no_u_turn;;;142147138;10567878469;142147138
21030654;restriction_added;turn_restriction;;restriction=no_u_turn;;;1133471877;10084772102;1133471877
21030655;restriction_added;turn_restriction;;restriction=no_u_turn;;;1133471877;10567878469;1133471877
21030656;restriction_added;turn_restriction;;restriction=no_u_turn;;;142147138;25973094;142147138
21030657;restriction_added;turn_restriction;;restriction=no_left_turn;;;142147138;25973094;1133471842
21030658;restriction_added;turn_restriction;;restriction=no_left_turn;;;50178031;21311890;27766393
21030659;restriction_added;turn_restriction;;restriction=no_u_turn;;;4641566;10595978341;4641566
21030660;restriction_added;turn_restriction;;restriction=only_straight_on;;;620357624;25972978;1532318535
21030661;restriction_added;turn_restriction;;restriction=only_straight_on;;;620357625;8425345099;1530947392
